"tip.label","mean_ED","median_ED","sd_ED","mean_rank","median_rank","top20_count","top20_frequency","species"
"Brochiraja_heuresa",18.2370951043418,17.7625050377676,6.35243524527507,887.93,919,0,0,"Brochiraja heuresa"
"Leucoraja_melitensis",18.7719801484257,17.7827996672067,6.37913777675142,888.21,931.5,0,0,"Leucoraja melitensis"
"Dipturus_laevis",18.9065484441565,16.3913692584713,8.15172449717116,888.29,954.5,0,0,"Dipturus laevis"
"Squalus_cubensis",18.9736310141732,20.7872348928118,6.88589420681835,889.62,846.5,0,0,"Squalus cubensis"
"Torpedo_fuscomaculata",18.1832859881019,18.5045369552224,3.36713921935595,890.3,907,0,0,"Torpedo fuscomaculata"
"Potamotrygon_dumerilii",18.2436867291931,16.6521956261026,6.41894351621642,890.46,909,0,0,"Potamotrygon dumerilii"
"Raja_radula",18.8032553574463,16.8101764840143,8.20259183126361,890.79,949,0,0,"Raja radula"
"Potamotrygon_humerosa",18.2664686982108,17.2498145720064,6.59461442259574,895.11,945,0,0,"Potamotrygon humerosa"
"Cephaloscyllium_laticeps",18.2884427816861,17.7410125327963,4.20838368223132,895.78,883,0,0,"Cephaloscyllium laticeps"
"Rajella_lintea",18.6827539676586,17.7235383633277,7.87766339392546,896.08,957,0,0,"Rajella lintea"
"Potamotrygon_scobina",18.1765137404767,16.3807982710057,6.71715884171217,896.44,976,0,0,"Potamotrygon scobina"
"Rajella_sadowskii",18.7131760584307,17.7470503994147,8.07043733756172,896.75,946,0,0,"Rajella sadowskii"
"Psammobatis_lentiginosa",18.1155728548707,17.4439729971889,4.83299065151677,897.3,898,0,0,"Psammobatis lentiginosa"
"Cephaloscyllium_variegatum",18.2186697501292,17.7975690069279,4.4819702944847,897.92,905.5,0,0,"Cephaloscyllium variegatum"
"Potamotrygon_leopoldi",18.1977457228692,17.5407298778056,6.42915399923835,899.6,942,0,0,"Potamotrygon leopoldi"
"Etmopterus_unicolor",18.322980313848,17.5782251623957,4.20370025303279,899.71,910.5,0,0,"Etmopterus unicolor"
"Potamotrygon_schuemacheri",18.1608538905094,16.3177806230942,7.01610641657881,899.96,987.5,0,0,"Potamotrygon schuemacheri"
"Pavoraja_mosaica",18.1949451022773,17.2502404867097,6.50503411250389,901.75,913.5,0,0,"Pavoraja mosaica"
"Rajella_caudaspinosa",18.5266398648989,19.5913074955722,6.84958375345225,902.23,915,0,0,"Rajella caudaspinosa"
"Rajella_annandalei",18.2928331738437,15.9480046112235,7.69154984960044,902.28,981,0,0,"Rajella annandalei"
"Himantura_imbricata",17.69140008467,17.8008631878864,1.87020795380898,902.84,960.5,0,0,"Himantura imbricata"
"Dasyatis_lata",17.6916044206188,17.8008631878864,1.86965329787086,903.64,961.5,0,0,"Dasyatis lata"
"Rajella_fyllae",18.4388158408266,19.7327375706465,6.62126027082463,903.73,937,0,0,"Rajella fyllae"
"Pavoraja_nitida",17.9733157527903,17.5394460322412,5.29399281676974,904.75,934.5,0,0,"Pavoraja nitida"
"Raja_asterias",18.2608258853617,17.4100942841662,7.4496090338543,906.6,954.5,0,0,"Raja asterias"
"Carcharhinus_plumbeus",18.1821144780993,17.7684981410042,4.72647058469943,906.84,915.5,0,0,"Carcharhinus plumbeus"
"Squalus_japonicus",18.4817768923959,19.6388205461918,6.70008904282427,906.92,904.5,0,0,"Squalus japonicus"
"Squalus_nasutus",18.4948550524073,19.9669017832087,6.70716651828253,907.01,912.5,0,0,"Squalus nasutus"
"Brochiraja_vittacauda",17.8059057389856,17.0924491167459,6.50621842246898,907.31,968,0,0,"Brochiraja vittacauda"
"Psammobatis_rudis",17.791965321011,17.6417462104076,4.46579206575383,907.42,920.5,0,0,"Psammobatis rudis"
"Potamotrygon_ocellata",17.7433345253676,16.7380279439374,7.21910991229752,908.33,984.5,0,0,"Potamotrygon ocellata"
"Etmopterus_granulosus",18.0816207254582,17.8853145861382,4.31124310010143,908.72,906,0,0,"Etmopterus granulosus"
"Mustelus_manazo",18.3144105723938,19.8752919256276,5.78185381761053,909.44,861,0,0,"Mustelus manazo"
"Carcharhinus_altimus",18.104384565072,17.843648926846,4.79468100498913,909.72,915.5,0,0,"Carcharhinus altimus"
"Potamotrygon_schroederi",17.7853127011598,16.1734834242424,6.5355137042104,911.28,994.5,0,0,"Potamotrygon schroederi"
"Brochiraja_aenigma",17.6772338026308,17.3032050983973,6.23176277426205,912.19,948.5,0,0,"Brochiraja aenigma"
"Glyphis_fowlerae",17.9771649180778,18.613727739929,3.7056880544487,912.71,908,0,0,"Glyphis fowlerae"
"Glyphis_gangeticus",17.9689521060053,18.5126932054346,3.71934679681001,913.11,907,0,0,"Glyphis gangeticus"
"Okamejei_kenojei",17.9236468661474,17.9856215518125,5.3224503957257,913.35,927.5,0,0,"Okamejei kenojei"
"Apristurus_kampae",17.8268042272621,18.258851186405,3.69490589734155,917.13,918,0,0,"Apristurus kampae"
"Rajella_dissimilis",17.9986183803992,16.352587248236,8.06399654828912,918.28,967.5,0,0,"Rajella dissimilis"
"Rajella_purpuriventralis",18.0706699539886,16.9881444382185,8.01083104234657,919.21,978,0,0,"Rajella purpuriventralis"
"Potamotrygon_marinae",17.6392501426902,16.4315964466534,6.48612136382635,919.63,969,0,0,"Potamotrygon marinae"
"Okamejei_boesemani",17.7327930562068,17.2175226547285,5.25137371091346,919.92,930,0,0,"Okamejei boesemani"
"Leucoraja_naevus",17.7127920248565,17.2596382219688,4.4172652713726,921.71,928,0,0,"Leucoraja naevus"
"Plesiotrygon_iwamae",17.3107729206914,16.9410010330433,3.87127354378915,921.82,942,0,0,"Plesiotrygon iwamae"
"Apristurus_fedorovi",17.62667137166,18.013221685695,3.78801946831942,922.37,919,0,0,"Apristurus fedorovi"
"Plesiotrygon_nana",17.3107729206914,16.9410010330433,3.87127354378915,922.82,943,0,0,"Plesiotrygon nana"
