"species","Rank_ED","ED","Rank_min0","EvoHeritage_min0","Rank_min66","EvoHeritage_min66","Rank_min145","EvoHeritage_min145","change_min0_vs_ED","change_min66_vs_ED","change_min145_vs_ED","scientificname","valid_name","class","order","family","genus","major_group"
"Atelomycterus marmoratus",137,53.5882789284473,128,43.7942487848023,98,10.6316797215985,105,1.91081486764753,-9,-39,-32,"Atelomycterus marmoratus","Atelomycterus marmoratus","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Atelomycterus","shark"
"Atelomycterus marnkalha",322,39.7938626417807,430,28.9875858144521,193,6.93070563687092,131,1.6851767886187,108,-129,-191,"Atelomycterus marnkalha","Atelomycterus marnkalha","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Atelomycterus","shark"
"Atlantoraja castelnaui",434,34.0869358828146,370,30.8026721954903,1021,0.806255259404852,1190,0.142668968592053,-64,587,756,"Atlantoraja castelnaui","Atlantoraja castelnaui","Elasmobranchii","Rajiformes","Arhynchobatidae","Atlantoraja","ray"
"Atlantoraja cyclophora",591,29.0579606128146,535,26.41280061131,1062,0.745193518214535,1183,0.146115463667062,-56,471,592,"Atlantoraja cyclophora","Atlantoraja cyclophora","Elasmobranchii","Rajiformes","Arhynchobatidae","Atlantoraja","ray"
"Atlantoraja platana",590,29.0579606128146,539,26.2913012851083,1042,0.779633172824594,1192,0.125973849527127,-51,452,602,"Atlantoraja platana","Atlantoraja platana","Elasmobranchii","Rajiformes","Arhynchobatidae","Atlantoraja","ray"
"Aulohalaelurus kanakorum",184,48.9269401454473,282,34.5120782705913,106,10.0767441029232,148,1.58930795063195,98,-78,-36,"Aulohalaelurus kanakorum","Aulohalaelurus kanakorum","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Aulohalaelurus","shark"
"Aulohalaelurus labiosus",183,48.9269401454473,272,35.082235535011,102,10.3446184050968,136,1.63740252539049,89,-81,-47,"Aulohalaelurus labiosus","Aulohalaelurus labiosus","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Aulohalaelurus","shark"
"Bathyraja abyssicola",924,18.4966864866754,894,17.1285922562949,1167,0.567799190623941,1063,0.183876583850741,-30,243,139,"Bathyraja abyssicola","Bathyraja abyssicola","Elasmobranchii","Rajiformes","Arhynchobatidae","Bathyraja","ray"
"Bathyraja aguja",1190,7.02447333507801,1189,6.11208716926763,1157,0.576474571423284,1153,0.159996546968307,-1,-33,-37,"Bathyraja aguja","Bathyraja aguja","Elasmobranchii","Rajiformes","Arhynchobatidae","Bathyraja","ray"
"Bathyraja aleutica",990,16.6573622676649,967,15.3209631878292,1170,0.563063017478632,1172,0.153135396052481,-23,180,182,"Bathyraja aleutica","Bathyraja aleutica","Elasmobranchii","Rajiformes","Arhynchobatidae","Bathyraja","ray"
