"tip.label","mean_ED","median_ED","sd_ED","mean_rank","top20_count","top20_frequency","mean_EH_66","median_EH_66","sd_EH_66","mean_rank_66","median_rank_66","top20_count_66","top20_frequency_66","mean_EH_145","median_EH_145","sd_EH_145","mean_rank_145","median_rank_145","top20_count_145","top20_frequency_145","species","rank_change_66_vs_ED","rank_change_145_vs_ED","rank_change_145_vs_66"
"Loxodon_macrorhinus",54.8162357131403,55.3869478355764,7.83200245715894,132.36,0,0,2.68607262743808,2.4038088794726,1.91879603708203,621.51,588,0,0,0.281244548539509,0.278598754582584,0.0898124059135561,825.4,819,0,0,"Loxodon macrorhinus",489.15,693.04,203.89
"Aulohalaelurus_labiosus",56.1543865917715,56.1928660505783,11.9246535366233,134.68,0,0,9.90201730875119,9.99390299148191,2.97947179146961,106.46,102,0,0,1.72659989027114,1.7102590395695,1.04508059163794,177.11,126.5,0,0,"Aulohalaelurus labiosus",-28.22,42.43,70.65
"Megachasma_pelagios",62.6132057658812,58.632115479936,22.9514132985602,134.75,8,0.08,11.8753880604369,11.2754771161989,5.83680025514936,91.59,90.5,4,0.04,2.32400094519726,2.37057141838091,1.19538690509976,104.31,83,0,0,"Megachasma pelagios",-43.16,-30.44,12.72
"Aulohalaelurus_kanakorum",56.1543865917715,56.1928660505783,11.9246535366233,135.68,0,0,10.0558110133652,10.2630223593457,3.00569202314236,103.52,96.5,0,0,1.73570811697583,1.73207704960554,1.05179657673647,176.63,128.5,0,0,"Aulohalaelurus kanakorum",-32.16,40.95,73.11
"Pristiophorus_japonicus",60.5181077867796,56.3157683401689,18.0177064469174,135.93,0,0,10.3123587397837,10.2930761206624,3.94189679324816,113.37,100,0,0,2.6292188152192,2.57460890049845,1.30369602959556,78.39,66.5,3,0.03,"Pristiophorus japonicus",-22.56,-57.54,-34.98
"Rhincodon_typus",60.6770658561575,55.1894391022186,19.272274733173,137.54,4,0.04,12.7655056017314,11.1804402614347,5.22856601167808,75.25,72.5,3,0.03,2.6151669603278,2.53688363653554,1.28214536668596,71.89,72,1,0.01,"Rhincodon typus",-62.29,-65.65,-3.36
"Pseudotriakis_microdon",58.4177789287352,56.167504845553,17.6306514954865,138.31,0,0,9.79964060968535,10.5973501671388,5.1724618887305,154.69,117,0,0,0.7136653619721,0.560260410941545,0.607930565103906,448.24,410.5,0,0,"Pseudotriakis microdon",16.38,309.93,293.55
"Pseudocarcharias_kamoharai",61.2795746826228,56.6332701219552,22.8951221924137,139.08,6,0.06,11.8120334691894,11.4476560490846,5.9542413648539,93.68,90.5,2,0.02,2.24557949606287,2.3113506842377,1.19126990755376,110.62,79.5,0,0,"Pseudocarcharias kamoharai",-45.4,-28.46,16.94
"Stegostoma_fasciatum",60.028889120862,54.5866015623653,18.1077532173709,139.55,4,0.04,12.6296677234072,11.4046631254494,4.68935478009658,75.96,70,1,0.01,2.69675149791974,2.60150844885,1.2964152282365,70.49,69,0,0,"Stegostoma fasciatum",-63.59,-69.06,-5.47
"Aetomylaeus_maculatus",55.3546792389621,55.3133680672367,10.5821082271661,148.54,0,0,7.05161174289675,6.98429523295323,2.7431158991345,192.61,191,0,0,0.409504759684985,0.376906391445507,0.188576832210315,546.65,522.5,0,0,"Aetomylaeus maculatus",44.07,398.11,354.04
